Comment,Designator,Footprint,LCSC
100n,"C10,C11,C3,C4,C5",C_0402_1005Metric,C1525
22p,"C1,C7",C_0402_1005Metric,C1555
HRO-TYPE-C-31-M-12,USB1,HRO-TYPE-C-31-M-12,C165948
4.7u,C2,C_0402_1005Metric,C23733
100R,R11,R_0402_1005Metric,C25076
22R,"R1,R2",R_0402_1005Metric,C25092
10k,"R10,R5,R6,R7",R_0402_1005Metric,C25744
5.1k,"R3,R4",R_0402_1005Metric,C25905
500mA,F1,Fuse_0805_2012Metric,C269104
Power LED,D1,LED_0402_1005Metric,C2856703
AT32F415KxU7-4,U1,AT32F4xx_QFN-32_4x4mm,C528424
1u,"C6,C8,C9",C_0402_1005Metric,C52923
XC6206P332MR,RG1,XC6206P332MR,C5446
RESET,"SW1,SW2",SW_SPST_Litte_Turtle_2P,C72443
SRV05-4,ESD1,SOT-23-6,C85364
8Mhz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
